iter	Passed	Remaining
0	144	144620
1	145	72636
2	146	48595
3	146	36555
4	147	29337
5	148	24542
6	148	21111
7	149	18527
8	150	16521
9	150	14913
10	151	13601
11	151	12502
12	152	11573
13	153	10780
14	153	10090
15	154	9489
16	154	8958
17	155	8484
18	156	8060
19	156	7677
20	157	7331
21	157	7019
22	158	6732
23	159	6469
24	159	6226
25	160	6006
26	161	5804
27	161	5617
28	162	5441
29	163	5278
30	163	5123
31	164	4979
32	165	4845
33	166	4716
34	166	4596
35	167	4481
36	168	4373
37	168	4271
38	169	4174
39	170	4083
40	170	3996
41	171	3911
42	172	3832
43	172	3757
44	173	3686
45	174	3616
46	175	3551
47	175	3487
48	176	3425
49	177	3365
50	177	3307
51	178	3251
52	178	3198
53	179	3146
54	180	3096
55	180	3047
56	181	3000
57	181	2955
58	182	2912
59	183	2871
60	183	2831
61	184	2794
62	185	2757
63	186	2721
64	186	2685
65	187	2652
66	188	2619
67	188	2586
68	189	2556
69	190	2525
70	190	2495
71	191	2466
72	192	2438
73	192	2410
74	193	2383
75	193	2356
76	194	2330
77	195	2305
78	195	2281
79	196	2259
80	197	2236
81	197	2214
82	198	2189
83	198	2168
84	199	2148
85	200	2131
86	201	2111
87	201	2092
88	202	2073
89	203	2055
90	203	2037
91	204	2019
92	205	2005
93	206	1989
94	207	1972
95	207	1956
96	208	1941
97	209	1925
98	209	1909
99	210	1894
100	211	1879
101	211	1865
102	212	1851
103	213	1838
104	214	1824
105	214	1811
106	215	1798
107	216	1785
108	216	1772
109	217	1760
110	218	1748
111	219	1737
112	219	1725
113	220	1713
114	221	1701
115	221	1690
116	222	1678
117	223	1667
118	223	1655
119	224	1645
120	224	1634
121	225	1622
122	226	1612
123	226	1602
124	227	1594
125	228	1584
126	229	1575
127	229	1566
128	230	1557
129	231	1547
130	231	1537
131	232	1528
132	233	1519
133	233	1511
134	234	1503
135	235	1494
136	235	1485
137	236	1477
138	237	1468
139	237	1460
140	238	1454
141	239	1445
142	239	1437
143	240	1429
144	241	1422
145	241	1414
146	242	1407
147	243	1399
148	243	1393
149	244	1386
150	245	1379
151	246	1372
152	246	1365
153	247	1358
154	247	1351
155	248	1345
156	249	1338
157	250	1332
158	250	1325
159	251	1319
160	251	1312
161	252	1306
162	253	1299
163	253	1293
164	254	1287
165	255	1281
166	255	1275
167	256	1269
168	257	1263
169	257	1258
170	258	1252
171	258	1246
172	259	1241
173	260	1235
174	260	1230
175	261	1224
176	262	1219
177	262	1214
178	263	1208
179	264	1203
180	264	1197
181	265	1192
182	266	1187
183	266	1182
184	267	1177
185	268	1173
186	268	1168
187	269	1164
188	270	1159
189	270	1154
190	271	1150
191	272	1145
192	272	1141
193	273	1136
194	274	1131
195	274	1127
196	275	1122
197	276	1118
198	276	1114
199	277	1109
200	278	1105
201	278	1100
202	279	1097
203	280	1092
204	280	1088
205	281	1084
206	282	1080
207	282	1077
208	283	1073
209	284	1069
210	284	1065
211	285	1061
212	286	1057
213	286	1053
214	287	1049
215	288	1046
216	289	1043
217	289	1039
218	290	1035
219	290	1031
220	291	1027
221	292	1023
222	292	1020
223	293	1017
224	294	1013
225	294	1010
226	295	1006
227	296	1003
228	297	1000
229	297	996
230	298	993
231	299	990
232	299	986
233	300	983
234	301	980
235	301	976
236	302	973
237	302	970
238	303	966
239	304	963
240	304	960
241	305	957
242	306	953
243	306	950
244	307	947
245	308	944
246	308	941
247	309	938
248	310	935
249	310	932
250	311	929
251	312	926
252	312	923
253	313	920
254	313	917
255	314	914
256	315	911
257	316	908
258	316	906
259	317	903
260	318	900
261	318	897
262	319	894
263	320	892
264	320	889
265	321	887
266	322	884
267	322	882
268	323	879
269	324	876
270	324	873
271	325	871
272	326	868
273	326	866
274	327	863
275	328	861
276	328	858
277	329	856
278	330	853
279	331	851
280	331	849
281	332	846
282	333	844
283	333	842
284	334	839
285	335	836
286	335	834
287	336	832
288	337	830
289	338	828
290	339	826
291	339	823
292	340	821
293	341	818
294	341	816
295	342	814
296	343	812
297	343	810
298	344	807
299	345	805
300	345	803
301	346	800
302	347	798
303	347	796
304	348	794
305	349	792
306	350	790
307	350	787
308	351	785
309	351	783
310	352	781
311	353	778
312	353	776
313	354	774
314	355	772
315	355	770
316	356	768
317	357	766
318	357	763
319	358	761
320	359	759
321	359	757
322	360	755
323	361	753
324	361	751
325	362	749
326	363	747
327	364	745
328	364	744
329	365	741
330	366	740
331	366	738
332	367	736
333	368	734
334	368	732
335	369	730
336	370	728
337	370	726
338	371	724
339	372	722
340	372	720
341	373	718
342	374	716
343	374	714
344	375	713
345	376	711
346	376	709
347	377	707
348	378	705
349	378	703
350	379	701
351	380	699
352	380	697
353	381	695
354	381	693
355	382	692
356	383	690
357	383	688
358	384	686
359	385	684
360	385	682
361	386	681
362	387	679
363	387	677
364	388	676
365	389	674
366	389	672
367	390	670
368	391	669
369	392	667
370	392	665
371	393	664
372	394	662
373	394	660
374	395	659
375	396	657
376	396	655
377	397	654
378	398	652
379	399	651
380	399	649
381	400	647
382	401	646
383	401	644
384	402	643
385	403	641
386	404	640
387	405	638
388	405	637
389	406	635
390	406	633
391	407	632
392	408	630
393	409	629
394	409	627
395	410	625
396	411	624
397	411	622
398	412	621
399	412	619
400	413	618
401	414	616
402	415	615
403	415	613
404	416	611
405	417	610
406	417	608
407	418	607
408	419	606
409	420	604
410	420	603
411	421	601
412	422	600
413	422	598
414	423	596
415	424	595
416	424	594
417	425	592
418	426	591
419	426	589
420	427	588
421	428	586
422	429	585
423	429	584
424	430	582
425	431	581
426	432	579
427	432	578
428	433	576
429	434	575
430	434	573
431	435	572
432	436	571
433	436	569
434	437	568
435	438	567
436	438	565
437	439	564
438	440	562
439	441	561
440	441	560
441	442	558
442	443	557
443	443	555
444	444	554
445	445	552
446	445	551
447	446	550
448	447	548
449	447	547
450	448	545
451	449	544
452	449	543
453	450	541
454	451	540
455	451	538
456	452	537
457	453	536
458	453	534
459	454	533
460	455	532
461	455	530
462	456	529
463	457	528
464	457	526
465	458	525
466	459	524
467	459	522
468	460	521
469	461	519
470	461	518
471	462	517
472	463	516
473	463	514
474	464	513
475	465	512
476	465	510
477	466	509
478	467	508
479	467	506
480	468	505
481	469	504
482	470	503
483	470	501
484	471	500
485	471	499
486	472	497
487	473	496
488	473	495
489	474	493
490	475	492
491	475	491
492	476	489
493	477	488
494	477	487
495	478	486
496	478	484
497	479	483
498	480	482
499	481	481
500	481	479
501	482	478
502	483	477
503	484	476
504	485	475
505	485	474
506	486	473
507	487	471
508	487	470
509	488	469
510	489	468
511	490	467
512	491	466
513	491	464
514	492	463
515	493	462
516	493	461
517	494	459
518	494	458
519	495	457
520	496	456
521	496	455
522	497	453
523	498	452
524	498	451
525	499	450
526	500	449
527	501	447
528	501	446
529	502	445
530	503	444
531	503	443
532	504	442
533	505	440
534	505	439
535	506	438
536	507	437
537	508	436
538	509	435
539	509	434
540	510	432
541	510	431
542	511	430
543	512	429
544	513	428
545	513	427
546	514	426
547	515	424
548	515	423
549	516	422
550	517	421
551	517	420
552	518	419
553	519	418
554	520	417
555	520	415
556	521	414
557	522	413
558	522	412
559	523	411
560	524	410
561	525	409
562	525	408
563	526	406
564	526	405
565	527	404
566	528	403
567	529	402
568	529	401
569	530	400
570	530	398
571	531	397
572	532	396
573	532	395
574	533	394
575	534	393
576	535	392
577	535	391
578	536	389
579	536	388
580	537	387
581	538	386
582	538	385
583	539	384
584	540	383
585	540	382
586	541	381
587	542	379
588	542	378
589	543	377
590	544	376
591	545	375
592	545	374
593	546	373
594	547	372
595	547	371
596	548	370
597	549	369
598	549	368
599	550	366
600	551	365
601	551	364
602	552	363
603	553	362
604	553	361
605	554	360
606	555	359
607	555	358
608	556	357
609	557	356
610	557	355
611	558	354
612	559	352
613	559	351
614	560	350
615	560	349
616	561	348
617	562	347
618	563	346
619	563	345
620	564	344
621	565	343
622	565	342
623	566	341
624	567	340
625	567	339
626	568	338
627	569	337
628	569	336
629	570	335
630	571	333
631	571	332
632	572	331
633	573	330
634	573	329
635	574	328
636	575	327
637	575	326
638	576	325
639	577	324
640	577	323
641	578	322
642	579	321
643	579	320
644	580	319
645	581	318
646	581	317
647	582	316
648	583	315
649	583	314
650	584	313
651	585	312
652	586	311
653	586	310
654	587	309
655	587	308
656	588	307
657	589	306
658	589	305
659	590	304
660	591	303
661	591	302
662	592	301
663	593	300
664	593	299
665	594	298
666	595	297
667	595	296
668	596	295
669	597	294
670	597	293
671	598	292
672	598	290
673	599	290
674	600	289
675	600	288
676	601	287
677	602	285
678	602	284
679	603	283
680	604	283
681	604	282
682	605	281
683	606	280
684	606	279
685	607	278
686	608	277
687	608	276
688	609	275
689	610	274
690	610	273
691	611	272
692	612	271
693	613	270
694	613	269
695	614	268
696	614	267
697	615	266
698	616	265
699	616	264
700	617	263
701	618	262
702	618	261
703	619	260
704	620	259
705	620	258
706	621	257
707	622	256
708	622	255
709	623	254
710	623	253
711	624	252
712	625	251
713	625	250
714	626	249
715	627	248
716	627	247
717	628	246
718	628	245
719	629	244
720	630	243
721	630	242
722	631	241
723	631	240
724	632	239
725	633	239
726	634	238
727	634	237
728	635	236
729	636	235
730	636	234
731	637	233
732	638	232
733	638	231
734	639	230
735	640	229
736	640	228
737	641	227
738	642	226
739	642	225
740	643	224
741	644	223
742	644	223
743	645	222
744	646	221
745	646	220
746	647	219
747	648	218
748	648	217
749	649	216
750	650	215
751	650	214
752	651	213
753	652	212
754	652	211
755	653	210
756	654	209
757	655	209
758	655	208
759	656	207
760	656	206
761	657	205
762	658	204
763	658	203
764	659	202
765	660	201
766	660	200
767	661	199
768	662	198
769	662	197
770	663	197
771	664	196
772	664	195
773	665	194
774	666	193
775	666	192
776	667	191
777	668	190
778	668	189
779	669	188
780	670	188
781	671	187
782	672	186
783	672	185
784	673	184
785	674	183
786	675	182
787	675	181
788	676	180
789	677	180
790	677	179
791	678	178
792	679	177
793	680	176
794	680	175
795	681	174
796	682	173
797	683	172
798	683	171
799	684	171
800	684	170
801	685	169
802	686	168
803	686	167
804	687	166
805	688	165
806	688	164
807	689	163
808	690	162
809	690	162
810	691	161
811	692	160
812	692	159
813	693	158
814	694	157
815	694	156
816	695	155
817	696	154
818	696	153
819	697	153
820	697	152
821	698	151
